volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
345070,Turrialba,Stratovolcano,2019,Costa Rica,México and Central America,Costa Rica,10.025,-83.767,3340,1891,6867,672428,3390544
244020,Tutuila,Tuff cone(s),440,United States,New Zealand to Fiji,Samoan and Wallis Islands,-14.295,-170.7,653,16653,49763,56239,67387
354040,Tutupaca,Stratovolcano(es),1802,Peru,South America,Peru,-17.026,-70.372,5801,18,1125,21124,213931
320031,Tuya Volcanic Field,Volcanic field,Unknown,Canada,Canada and Western USA,Canada,59.37,-130.58,2123,0,0,0,665
355150,Tuzgle,Stratovolcano,Unknown,Argentina,South America,"Northern Chile, Bolivia and Argentina",-24.05,-66.48,5486,42,217,4740,22953
300540,Tuzovsky,Shield(s),Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,57.32,159.967,1516,0,0,128,3636
323160,Ubehebe Craters,Maar(s),-150,United States,Canada and Western USA,USA (California),37.02,-117.45,752,18,94,262,15354
300241,Udina,Stratovolcano(es),Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.758,160.527,2886,0,2,63,10334
302030,Udokan Plateau,Pyroclastic cone(s),-220,Russia,Kamchatka and Mainland Asia,Russia (southeastern),56.28,117.77,2180,12,12,62,4688
312130,Ugashik-Peulik,Stratovolcano,1814,United States,Alaska,Alaska Peninsula,57.751,-156.368,1474,0,0,0,102
329010,Uinkaret Field,Volcanic field,1100,United States,Canada and Western USA,USA (Arizona),36.38,-113.13,1555,92,92,170,149617
312131,Ukinrek Maars,Maar(s),1977,United States,Alaska,Alaska Peninsula,57.832,-156.51,91,0,0,0,739
300350,Uksichan,Shield,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.08,158.38,1692,0,6,67,4416
306030,Ulreung,Stratovolcano,-2990,South Korea,Kamchatka and Mainland Asia,Korea,37.5,130.87,984,7399,9210,9210,9210
251060,Umboi,Complex,Unknown,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,-5.589,147.875,1548,249,1127,5585,83275
263230,Ungaran,Stratovolcano,Unknown,Indonesia,Indonesia,Java,-7.18,110.33,2050,6705,110008,4595534,25639073
282100,Unzendake,Complex,1996,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,32.761,130.299,1483,6979,76424,444737,7313362
244030,Upolu,Shield,Unknown,Samoa,New Zealand to Fiji,Samoan and Wallis Islands,-13.935,-171.72,1100,680,13753,144419,198677
290191,Uratman,Stratovolcano,Unknown,Russia,Kuril Islands,Kuril Islands,47.12,152.25,678,3,9,20,33
300261,Ushkovsky,Compound,1890,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.113,160.509,3943,0,0,292,12461
343081,Usulutan,Stratovolcano,Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.419,-88.471,1449,22940,154864,610124,5434637
343160,Utila Island,Pyroclastic cone(s),Unknown,Honduras,México and Central America,El Salvador and Honduras,16.12,-86.882,74,2260,2260,2260,650270
231020,"Uwayrid, Harrat",Volcanic field,640,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),27.08,37.25,1920,659,659,659,58643
300170,Uzon,Caldera(s),200,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.5,159.97,1617,0,0,294,9144
244000,Vailulu'u,Submarine,2003,United States,New Zealand to Fiji,Samoan and Wallis Islands,-14.215,-169.058,-592,0,0,0,1387
214080,Vaiyots-Sar,Pyroclastic cone(s),-2000,Armenia,Mediterranean and Western Asia,Western Asia,39.797,45.497,2575,31477,31477,57079,1465950
233015,Vakinankaratra,Pyroclastic cone(s),Unknown,Madagascar,Middle East and Indian Ocean,Indian Ocean (western),-19.85,46.942,2644,123192,123192,413328,5184370
346030,"Valle, El",Stratovolcano,Unknown,Panama,México and Central America,Panama,8.58,-80.17,1185,1544,7458,131928,2108003
290370,Vernadskii Ridge,Pyroclastic cone(s),Unknown,Russia,Kuril Islands,Kuril Islands,50.55,155.97,1183,0,2,976,3064
372010,Vestmannaeyjar,Submarine,1973,Iceland,Iceland and Arctic Ocean,Iceland (southern),63.416,-20.266,283,1685,1685,2188,17538
211020,Vesuvius,Stratovolcano,1944,Italy,Mediterranean and Western Asia,Italy,40.821,14.426,1281,19162,675705,3907941,6009961
253030,Victory,Stratovolcano,1935,Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.2,149.07,1925,16,96,14042,116816
357120,Villarrica,Stratovolcano,2020,Chile,South America,Central Chile and Argentina,-39.42,-71.93,2847,477,1067,35118,667788
300083,Vilyuchik,Stratovolcano,-8050,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.7,158.28,2173,0,1,23874,276468
223050,Visoke,Stratovolcano,1957,DR Congo-Rwanda,Africa and Red Sea,Africa (central),-1.458,29.485,3696,17165,88356,1162209,10953315
300059,Visokiy,Stratovolcano,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.43,157.93,1234,0,0,30,232358
302040,Vitim Volcanic Field,Pyroclastic cone(s),Unknown,Russia,Kamchatka and Mainland Asia,Russia (southeastern),53.75,113.25,1250,669,669,669,10035
225020,"Voon, Tarso",Stratovolcano,Unknown,Chad,Africa and Red Sea,Africa (northern),20.92,17.28,3100,0,0,0,3220
300720,Voyampolsky,Shield(s),Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,58.374,160.631,1103,0,0,74,2758
211050,Vulcano,Stratovolcano(es),1890,Italy,Mediterranean and Western Asia,Italy,38.404,14.962,500,2259,23059,86766,2093800
211003,Vulsini,Caldera,-104,Italy,Mediterranean and Western Asia,Italy,42.6,11.93,800,71789,71789,195475,4627250
300221,Vysoky,Stratovolcano,-550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.064,160.765,2129,0,0,123,3657
390024,Waesche,Shield(s),Unknown,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-77.17,-126.88,3292,0,0,0,0
244050,Wallis Islands,Shield(s),Unknown,France,New Zealand to Fiji,Samoan and Wallis Islands,-13.3,-176.17,143,6897,15214,15342,15342
324030,Wapi Lava Field,Shield,-300,United States,Canada and Western USA,USA (Idaho),42.88,-113.22,1604,6,6,1394,172539
283071,Washiba-Kumonotaira,Shield(s),Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.408,137.594,2924,53,215,104826,4446247
360101,"Watt, Morne",Stratovolcano(es),1997,Dominica,West Indies,West Indies,15.307,-61.305,1224,1818,35821,63178,545352
320150,Wells Gray-Clearwater,Pyroclastic cone(s),1550,Canada,Canada and Western USA,Canada,52.33,-120.57,2576,716,716,716,18280
321060,West Crater,Volcanic field,-5750,United States,Canada and Western USA,USA (Washington),45.88,-122.08,1329,505,505,14359,2225092
210010,West Eifel Volcanic Field,Maar(s),-8300,Germany,Mediterranean and Western Asia,Western Europe,50.17,6.85,600,94991,94991,232256,7945412
243130,West Mata,Submarine,2009,Tonga,New Zealand to Fiji,Tonga Islands,-15.1,-173.75,-1174,0,0,0,1755
311340,Westdahl,Stratovolcano?,1992,United States,Alaska,Aleutian Islands,54.516,-164.65,1563,0,0,0,305
241040,Whakaari/White Island,Stratovolcano(es),2019,New Zealand,New Zealand to Fiji,New Zealand,-37.52,177.18,294,5,5,5,190290
241011,Whangarei,Pyroclastic cone(s),Unknown,New Zealand,New Zealand to Fiji,New Zealand,-35.75,174.27,397,51419,51419,62244,145873
263270,Wilis,Stratovolcano,Unknown,Indonesia,Indonesia,Java,-7.808,111.758,2563,514,5376,2150615,21455776
252080,Witori,Caldera,2012,Papua New Guinea,Melanesia and Australia,New Britain,-5.576,150.516,724,24509,24509,37824,145382
315020,Wrangell,Shield,1912,United States,Alaska,Alaska (eastern),62.006,-144.017,4278,0,0,0,1844
305030,Wudalianchi,Volcanic field,1776,China,Kamchatka and Mainland Asia,China (eastern),48.72,126.12,597,57885,57885,136201,2164526
283070,Yakedake,Stratovolcano(es),1995,Japan,"Japan, Taiwan, Marianas",Honshu,36.227,137.587,2455,995,2995,156542,4595286
231080,"Yar, Jabal",Volcanic field,1810,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),17.05,42.83,305,292582,292582,574162,2204954
257100,Yasur,Stratovolcano,2020,Vanuatu,Melanesia and Australia,Vanuatu,-19.532,169.447,361,3636,6068,24748,32427
300021,Yavinsky,Stratovolcano,-4050,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.533,156.629,646,30,595,1356,4813
325010,Yellowstone,Caldera(s),-1350,United States,Canada and Western USA,USA (Wyoming),44.43,-110.67,2805,0,0,234,20692
343150,"Yojoa, Lake",Volcanic field,Unknown,Honduras,México and Central America,El Salvador and Honduras,14.98,-87.98,1090,123374,123374,279991,3336190
282021,Yokoate-jima,Stratovolcano(es),1835,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,28.797,128.997,495,62,64,72,72351
283031,Yokodake,Stratovolcano(es),1200,Japan,"Japan, Taiwan, Marianas",Honshu,36.087,138.32,2480,1920,11751,484929,6385773
282081,Yonemaru-Sumiyoshiike,Maar(s),-6200,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.771,130.592,40,18080,73354,923168,2959509
285032,Yoteizan,Stratovolcano,-1050,Japan,"Japan, Taiwan, Marianas",Hokkaido,42.827,140.812,1888,205,19419,80006,2988960
354050,Yucamane,Stratovolcano(es),-1320,Peru,South America,Peru,-17.184,-70.196,5495,51,692,10396,467713
282130,Yufu-Tsurumi,Lava dome(s),867,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,33.282,131.39,1584,28543,139722,709942,7767905
311210,Yunaska,Shield,1937,United States,Alaska,Aleutian Islands,52.643,-170.629,550,0,0,0,0
343140,"Zacate Grande, Isla",Stratovolcano,Unknown,Honduras,México and Central America,El Salvador and Honduras,13.33,-87.63,640,7059,11942,195736,3647832
283190,Zaozan [Zaosan],Complex,1940,Japan,"Japan, Taiwan, Marianas",Honshu,38.144,140.44,1841,632,4681,550409,4956958
300480,Zaozerny,Shield(s),Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.88,159.95,1349,0,0,50,10351
344111,Zapatera,Shield,Unknown,Nicaragua,México and Central America,Nicaragua,11.73,-85.82,629,136,2104,214864,2537550
300124,Zavaritsky,Pyroclastic cone(s),-800,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.905,158.385,1567,0,0,37,223868
390130,Zavodovski,Stratovolcano,2016,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,-56.3,-27.57,551,0,0,0,0
300242,Zimina,Stratovolcano(es),Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.862,160.603,3057,0,0,77,11184
341061,Zitacuaro-Valle de Bravo,Caldera,-3050,Mexico,México and Central America,Mexico,19.4,-100.25,3500,231977,231977,490440,4838069
221020,Zubair Group,Shield,2013,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,15.05,42.18,191,7,7,7,671171
221021,Zukur,Shield,Unknown,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,14.02,42.75,624,508,922,1075,1472800
327120,Zuni-Bandera,Volcanic field,-1170,United States,Canada and Western USA,USA (New Mexico),34.8,-108,2550,18,18,246,54738
